gene	SRX014818and9	SRX014820and1	SRX014822and3	SRX014824and5	SRX014826and7	SRX014828and9	logFC	logCPM	F	PValue
ENSG00000000003	60	60	16	9	56	37	-0.62839462697007	4.6551369541781344	1.5300214817259752	0.23193362092299905
ENSG00000000005	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000000419	25	9	15	15	26	11	-0.0429091272200461	3.5229139493686623	0.0076155267465378455	0.931418440896041
ENSG00000000457	32	19	21	31	28	28	0.17627259538724377	4.136284903851203	0.19265738888133765	0.6659138075308093
ENSG00000000460	1	3	0	5	1	1	0.7034589084955539	1.2477944694524954	0.35125891192788594	0.5607408725186953
ENSG00000000938	6	7	8	4	4	1	-1.2912873407640424	2.1149960608874396	3.1195611234461937	0.09423483450573035
ENSG00000000971	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001036	42	38	30	51	34	48	0.1904562987644198	4.723424445818977	0.2608338887550179	0.6157264852670308
ENSG00000001084	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001167	46	55	53	56	41	60	-0.06374377819020055	5.063248998128757	0.03455777138513781	0.8545948536031075
ENSG00000001460	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001461	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001497	1	1	4	0	5	2	0.03589881163874706	1.333703534119841	0.0012395166351532466	0.9723006091177226
ENSG00000001561	46	49	54	61	37	37	-0.2008110933296929	4.953131586754131	0.28764521782030444	0.5982703325405909
ENSG00000001617	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001626	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001629	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001630	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000001631	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002016	2	1	0	2	5	4	1.6083180626783664	1.3918680815405464	2.409159781170197	0.1379535864684034
ENSG00000002079	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002330	24	28	20	30	36	32	0.3223406272356932	4.216058889121299	0.7217033903044642	0.4066932752781329
ENSG00000002549	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002586	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002587	0	9	8	6	3	1	-0.8155742584724066	2.0157385974230886	0.7526813212236334	0.39699639097634354
ENSG00000002726	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002745	0	0	1	1	0	0	-0.06470867935102065	0.5175504643114317	0.0015668141141194076	0.9688593422121017
ENSG00000002746	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002822	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000002834	22	29	21	59	57	34	0.9655942407259378	4.587791187550626	5.998655584939544	0.024731947742046893
ENSG00000002919	55	46	44	39	74	62	0.1188278680061397	5.067075038514497	0.13529912000577113	0.7172700952291836
ENSG00000002933	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003056	263	152	147	179	192	151	-0.2051041351894017	6.822182795521537	0.4091837771868509	0.5304057940295464
ENSG00000003096	0	1	0	1	2	2	1.8447287930924474	0.8690322494419384	1.7230936705943045	0.20571272485674136
ENSG00000003137	0	0	4	0	0	0	-3.598138638963386	0.7085021692786736	3.1833603340561623	0.09326811632219764
ENSG00000003147	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003249	14	6	23	89	22	258	2.9834378702119384	5.401275131655712	21.58784721877869	1.9853715700582686e-4
ENSG00000003393	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003400	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003402	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003436	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003509	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003756	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003987	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000003989	566	671	238	339	820	496	-0.01311665300191045	8.307641161500323	0.0012476083677065793	0.9722103830478714
ENSG00000004059	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004139	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004142	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004399	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004455	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004468	0	0	0	0	0	0	0	0.29008182904026736	0	1
ENSG00000004478	213	120	398	91	222	179	-0.7316506734566036	6.968001795247183	3.789421050359946	0.06728339903676823
ENSG00000004487	0	0	0	0	0	0	0	0.29008182904026736	0	1
