Cultivar	Alcohol	MalicAcid	Ash	Magnesium	Color	phenol/flav	value
1	14.23	1.71	2.43	127	5.64	TotalPhenol	2.8
1	13.2	1.78	2.14	100	4.38	TotalPhenol	2.65
1	13.16	2.36	2.67	101	5.68	TotalPhenol	2.8
1	14.37	1.95	2.5	113	7.8	TotalPhenol	3.85
1	13.24	2.59	2.87	118	4.32	TotalPhenol	2.8
1	14.2	1.76	2.45	112	6.75	TotalPhenol	3.27
1	14.39	1.87	2.45	96	5.25	TotalPhenol	2.5
1	14.06	2.15	2.61	121	5.05	TotalPhenol	2.6
1	14.83	1.64	2.17	97	5.2	TotalPhenol	2.8
1	13.86	1.35	2.27	98	7.22	TotalPhenol	2.98
1	14.1	2.16	2.3	105	5.75	TotalPhenol	2.95
1	14.12	1.48	2.32	95	5	TotalPhenol	2.2
1	13.75	1.73	2.41	89	5.6	TotalPhenol	2.6
1	14.75	1.73	2.39	91	5.4	TotalPhenol	3.1
1	14.38	1.87	2.38	102	7.5	TotalPhenol	3.3
1	13.63	1.81	2.7	112	7.3	TotalPhenol	2.85
1	14.3	1.92	2.72	120	6.2	TotalPhenol	2.8
1	13.83	1.57	2.62	115	6.6	TotalPhenol	2.95
1	14.19	1.59	2.48	108	8.7	TotalPhenol	3.3
1	13.64	3.1	2.56	116	5.1	TotalPhenol	2.7
1	14.06	1.63	2.28	126	5.65	TotalPhenol	3
1	12.93	3.8	2.65	102	4.5	TotalPhenol	2.41
1	13.71	1.86	2.36	101	3.8	TotalPhenol	2.61
1	12.85	1.6	2.52	95	3.93	TotalPhenol	2.48
1	13.5	1.81	2.61	96	3.52	TotalPhenol	2.53
1	13.05	2.05	3.22	124	3.58	TotalPhenol	2.63
1	13.39	1.77	2.62	93	4.8	TotalPhenol	2.85
1	13.3	1.72	2.14	94	3.95	TotalPhenol	2.4
1	13.87	1.9	2.8	107	4.5	TotalPhenol	2.95
1	14.02	1.68	2.21	96	4.7	TotalPhenol	2.65
1	13.73	1.5	2.7	101	5.7	TotalPhenol	3
1	13.58	1.66	2.36	106	6.9	TotalPhenol	2.86
1	13.68	1.83	2.36	104	3.84	TotalPhenol	2.42
1	13.76	1.53	2.7	132	5.4	TotalPhenol	2.95
1	13.51	1.8	2.65	110	4.2	TotalPhenol	2.35
1	13.48	1.81	2.41	100	5.1	TotalPhenol	2.7
1	13.28	1.64	2.84	110	4.6	TotalPhenol	2.6
1	13.05	1.65	2.55	98	4.25	TotalPhenol	2.45
1	13.07	1.5	2.1	98	3.7	TotalPhenol	2.4
1	14.22	3.99	2.51	128	5.1	TotalPhenol	3
1	13.56	1.71	2.31	117	6.13	TotalPhenol	3.15
1	13.41	3.84	2.12	90	4.28	TotalPhenol	2.45
1	13.88	1.89	2.59	101	5.43	TotalPhenol	3.25
1	13.24	3.98	2.29	103	4.36	TotalPhenol	2.64
1	13.05	1.77	2.1	107	5.04	TotalPhenol	3
1	14.21	4.04	2.44	111	5.24	TotalPhenol	2.85
1	14.38	3.59	2.28	102	4.9	TotalPhenol	3.25
1	13.9	1.68	2.12	101	6.1	TotalPhenol	3.1
1	14.1	2.02	2.4	103	6.2	TotalPhenol	2.75
1	13.94	1.73	2.27	108	8.9	TotalPhenol	2.88
1	13.05	1.73	2.04	92	7.2	TotalPhenol	2.72
1	13.83	1.65	2.6	94	5.6	TotalPhenol	2.45
1	13.82	1.75	2.42	111	7.05	TotalPhenol	3.88
1	13.77	1.9	2.68	115	6.3	TotalPhenol	3
1	13.74	1.67	2.25	118	5.85	TotalPhenol	2.6
1	13.56	1.73	2.46	116	6.25	TotalPhenol	2.96
1	14.22	1.7	2.3	118	6.38	TotalPhenol	3.2
1	13.29	1.97	2.68	102	6	TotalPhenol	3
1	13.72	1.43	2.5	108	6.8	TotalPhenol	3.4
2	12.37	0.94	1.36	88	1.95	TotalPhenol	1.98
2	12.33	1.1	2.28	101	3.27	TotalPhenol	2.05
2	12.64	1.36	2.02	100	5.75	TotalPhenol	2.02
2	13.67	1.25	1.92	94	3.8	TotalPhenol	2.1
2	12.37	1.13	2.16	87	4.45	TotalPhenol	3.5
2	12.17	1.45	2.53	104	2.95	TotalPhenol	1.89
2	12.37	1.21	2.56	98	4.6	TotalPhenol	2.42
2	13.11	1.01	1.7	78	5.3	TotalPhenol	2.98
2	12.37	1.17	1.92	78	4.68	TotalPhenol	2.11
2	13.34	0.94	2.36	110	3.17	TotalPhenol	2.53
2	12.21	1.19	1.75	151	2.85	TotalPhenol	1.85
2	12.29	1.61	2.21	103	3.05	TotalPhenol	1.1
2	13.86	1.51	2.67	86	3.38	TotalPhenol	2.95
2	13.49	1.66	2.24	87	3.74	TotalPhenol	1.88
2	12.99	1.67	2.6	139	3.35	TotalPhenol	3.3
2	11.96	1.09	2.3	101	3.21	TotalPhenol	3.38
2	11.66	1.88	1.92	97	3.8	TotalPhenol	1.61
2	13.03	0.9	1.71	86	4.6	TotalPhenol	1.95
2	11.84	2.89	2.23	112	2.65	TotalPhenol	1.72
2	12.33	0.99	1.95	136	3.4	TotalPhenol	1.9
2	12.7	3.87	2.4	101	2.57	TotalPhenol	2.83
2	12	0.92	2	86	2.5	TotalPhenol	2.42
2	12.72	1.81	2.2	86	3.9	TotalPhenol	2.2
2	12.08	1.13	2.51	78	2.2	TotalPhenol	2
2	13.05	3.86	2.32	85	4.8	TotalPhenol	1.65
2	11.84	0.89	2.58	94	3.05	TotalPhenol	2.2
